"comment_id","author","body","source","channel"
"Ugw-9HIGvJr0Z1iZZyx4AaABAg","@chrishulsey2813","Man I know this is old but can you review the newer ultras with 1tb storage and 8 Gen elite","youtube","mkbhd"
"UgwMtrWVbmFWifzG4r54AaABAg","@brettgirl","Ladies with small hands need phones too! I have an iphone 13 mini because it's small and I can hold it in my hands without risk of dropping it and shuffling it in one hand.","youtube","mkbhd"
"UgxASY7bEBKG3vLuRsh4AaABAg","@WalterSobchack-s8n","I am surprised how tech companies miss obvious facts
 Like the only reason someone will pick a razr over  Galaxy flip is that the nostalgia of the original razr. The giant chin, look and the snappy flip is a feature that makes a razr a razr. Why drop your key strength the original razr look and copy samsung design ? Its just stupid","youtube","mkbhd"
"UgyjXVxQHUbY3X3jfgB4AaABAg","@DTow-p1x7x","It's crazy how the chipsets works in these phones now it's crazy hell 8 gen 1 8 gen 2 and 8 gen 3 are considered mid-range when they were flagship at first so I guess when a newer chip set comes out the 8 elite 5 chipset is going to be considered mid-range then huh it's crazy how the previous chipsets that were flagships are considered mid-range now That's insane work","youtube","mkbhd"
"UgzvEQUa8UYfuz_IarN4AaABAg","@codeheretic","With the clicks keyboard, it proves it's exactly what so many people wanted the whole time. I'm not worried about scrolling on addictive apps. I straight up do not want to use them at all. I see no use. I do not want a vertical phone. I want a device that feels good to use.","youtube","mkbhd"
"Ugzs4ErCaJgW88NG9bh4AaABAg","@Lemmegooglethat..","Speaking of wallets thats what its designed like i even have a nice case from temu that turns it into a wallet!","youtube","mkbhd"
"UgzcOmsV9OLioaCgoI94AaABAg","@davdooo-k9w","Razr+ 2025?","youtube","mkbhd"
"UgyQTYR5xSSd_MjXAs54AaABAg","@Jaycat48","I'm pretty sure the processor is a snapdragon 8 gen 3.","youtube","mkbhd"
"UgxHHtn-gbaqfU1X3Rt4AaABAg","@frank-bmtz","I have the base model Razr 2025. Super useful and practical.","youtube","mkbhd"
"UgzOe4XEG0Tpy7NBnbV4AaABAg","@DudeNamedRandy","Just picked one up for $170 ❤ I love it! Also retro mode is awesome! 😎","youtube","mkbhd"
"UgwvkxGkbcciM27hKi94AaABAg","@DrFabianBlair","Should have stick to the 2020 original nostalgic style. That actually looked like a razor blade sharp.. This round thing go against the name","youtube","mkbhd"
"Ugx4z1JeW9bg8P5CFYF4AaABAg","@VideoMonthly","Its an awesome unit that i want, still using the G56 though","youtube","mkbhd"
"UgxwecQoac8XBi_97WZ4AaABAg","@kablemusic","I can't use an external mic with this phone for some reason it don't work","youtube","mkbhd"
"UgxkgOl1BIBqX2zp55J4AaABAg","@sepinofrancis","I have it, I like it 😊","youtube","mkbhd"
"Ugx1sQDuY1SlWWBiMPx4AaABAg","@exxppo","you have to review the motorola edge 60 pro, really really nice phone","youtube","mkbhd"
"Ugy8ESXC3sYpUQlpfzB4AaABAg","@IIIDH75III","I love this phone with a passion and will be investing in it asap!","youtube","mkbhd"
"UgyQChvhNlKHTVNc4PJ4AaABAg","@o_lymbias4159","Hey ! Do you plan on doing a motorola razr 2025 review ? I'd really like to know what you think of it !","youtube","mkbhd"
"UgzkBr4AdIRWz6gUtvd4AaABAg","@BattleCryOfHeaven","As a 90s kid, I was sold by the retro setting Easter egg on razr phones 😅 which you haven't mentioned.","youtube","mkbhd"
"UgwnuBN0nx6qvgemCqN4AaABAg","@kimbo9643","Im apple my whole life and i switch moto plus and i love it","youtube","mkbhd"
"UgwvaiFBHQz6sPwGIJl4AaABAg","@angie.salama","NEW MOTO 60 ULTRA REVIEW PLEASE","youtube","mkbhd"
"UgwqPuHrwkyauAHt42J4AaABAg","@Gregster86","Aw….lost me at no more retro look 🥲","youtube","mkbhd"
"UgwSbn04QzHushEd1c14AaABAg","@mykebrand2674","The Razt pkus is the first phone ive been excuted about in a long time","youtube","mkbhd"
"UgwokQ5-1Ebk8wl76fh4AaABAg","@clairjacob3863","This is just perfect for me during my daily commute to work especially on the route that I'm going to work. I can whip up my phone without the fear of being stolen cuz you can access everything on the outside screen and it's the perfect size (when folded) to be subtle during train rides","youtube","mkbhd"
"UgweRpywhXSY9EKtlZ94AaABAg","@marquiswilson1460","I just got the 2025 model ❤🎉","youtube","mkbhd"
"Ugw2uzE5c0GXZ2Na74t4AaABAg","@hipfrank","panels huh? 4:01","youtube","mkbhd"
"UgyLUWwKTtesMk-HXzl4AaABAg","@aaronjameshorne","your review videos are the best.","youtube","mkbhd"
"UgxlCvtm6vODAJZpctJ4AaABAg","@JolikaUllah","This is the only other folding phone on the market that is similar to the Galaxy z flip and aside from the camera, it's actually better than the Galaxy z flip","youtube","mkbhd"
"UgyOWww2xCwXiIYgIjZ4AaABAg","@takuya_1138","Got the 2025 razr after being an iPhone user since the 4S. Been such a fun switch","youtube","mkbhd"
"UgyVZJjowuaMANrj7wN4AaABAg","@RK-ed7cc","Vegan leather?😂🤣😂🤣","youtube","mkbhd"
"Ugy3wccM0-8sduRS8UV4AaABAg","@Squeegeeboss1","I've had mine for a few months. Already lags and the camera quality sucks","youtube","mkbhd"
"Ugwo00jUIIaDqPTENsV4AaABAg","@InfinitySwitch84","""Vegan Leather""? Seriously? We already had a word for this that wasn't offensive and it was a lot easier to say. It's called ""Pleather"". Short for ""Plastic Leather"". There was never a need to come up with some new absurd way to refer to pleather. You people....","youtube","mkbhd"
"UgyINpVDHsO3sPSwXTB4AaABAg","@viperlesniper-uz6nv","I've had this phone since October and still barely any crease and my sister for the flip z 6 and her crease is bad and she's had it since October.","youtube","mkbhd"
"Ugxva0Lu0AWU2I0PB2F4AaABAg","@SmokeNScales","I am in LOVE with my Razr+ Mocha Mousse ❤ I needed a break away from full-time iPhone use 😂","youtube","mkbhd"
"Ugx0-1DAlZzd8pumFPh4AaABAg","@J.J.A.S","Gran video y excelente audio en español. Gracias","youtube","mkbhd"
"UgzBwZCa1OP3IcVC6zx4AaABAg","@stevebeschakis9775","Carry it in your pocket to prevent fertility.  hahaha","youtube","mkbhd"
"UgwJzeiCmn400E80-Xx4AaABAg","@MillenniOldOld","This phone is tempting me away from my iPhone. I know the 2025 razr’s are coming soon so I’m guessing that will mean the price of this one will come down, right?","youtube","mkbhd"
"Ugz8w9sUgQor4k1yvAl4AaABAg","@billynuqui1791","Why the ""hole punch"" still, whe the main camera can take selfies too, missed opportunity I think🫤","youtube","mkbhd"
"Ugy5XXg8P_achsCdbbt4AaABAg","@BalikAlistane","Looks great!","youtube","mkbhd"
"Ugx1XgRDtR_AcamGA5x4AaABAg","@a.l6922","I mean womens clothing rarely has big enough pockets..i love how portable this is and all the accessories for it","youtube","mkbhd"
"UgzeoGkG7toSEWPjgoh4AaABAg","@Yataro79","This whole ""I want my phone to discourage me from using my phone"" thing isn't for me. Since I don't use any Social Media except from YT I usually get through my day with around 1h of screentime, half of it being for work making calls and checking my calendar. Which is why I like these flip phones: They don't take up much space in my pocket but are there when I need them. 
Today my refurbished Razr 40 Ultra is due to be delivered and I'm mildly excited about it.","youtube","mkbhd"
"Ugy_evD606_eodwqOQZ4AaABAg","@MaximVermeersch-nm4de","I think this phone opens up a new customer market, this phone + the clicks keyboard - lets go!

Yet if blackberry would relaunch their legendary blackberry phone with a keyboard, just a good old classic model, I would probably buy that to :)","youtube","mkbhd"
"Ugx3TMyXfmx3FnACyI94AaABAg","@NightCityNovelties","I'm literally watching this video on the external screen of my Motorola Razr+ 2024.

I love it.","youtube","mkbhd"
"Ugz8sl5ryPb7f4DjPOx4AaABAg","@PhillipsNivenavvv-h6q","I have Moto g 53 the razor is like that but folded in 2 bits","youtube","mkbhd"
"UgyVtONL10iby77144J4AaABAg","@sustreeyt","Idk who's watching this right now but I love my moto 2024, if I have to use a bank app in public, I use the outside display so I can cover my info more effectively","youtube","mkbhd"
"Ugyc6KC0xv1_P-_4JXJ4AaABAg","@StormConnectionNews","I have this phone and I use the small screen as much as the big screen, I love this phone","youtube","mkbhd"
"UgycJUs3e0q13yi7tzp4AaABAg","@TheGift651","I love it. I bought to reduce screentime. And I use my phone passively. It's perfect","youtube","mkbhd"
"UgwA2CqM2s1REi7qK-54AaABAg","@BlackWildow91","Hey I was wondering what is the best iphone for a new iphone user my friend said that u should try and iphone out for the first time And I don't mind trying something new out i've only been a straight samsung user","youtube","mkbhd"
"Ugy2Ia_JEOMnKf9hbfJ4AaABAg","@phillyJay00","💥💥This guy is a goofball he's talking about there's games on the front even though they're border on gimmicky bro stfu","youtube","mkbhd"
"UgwtqjiwRImdhLnNbf14AaABAg","@HadrysL","Do you or does anyone feels the phone very greasy? I dont know with what I can clean it to avoid this feeling","youtube","mkbhd"
"UgyG9R2zmzdy9DYu3Yl4AaABAg","@felixriveragomez5690","Outer display is amazing. It's what I use the most. Really don't have to open the phone too often. Thanx Motorola 😉","youtube","mkbhd"
